#mm9.knownGene.name	mm9.knownGene.chrom	mm9.knownGene.txStart	mm9.knownGene.txEnd	mm9.knownGene.strand	mm9.kgXref.refseq
uc007dnx.2	chr1	173259275	173272632	+	NM_011615
uc007doa.2	chr1	173272367	173275776	-	NM_012049
uc007doc.1	chr1	173275829	173288301	+	NM_011070
uc007dod.1	chr1	173288579	173290929	-	NM_001033039
uc007dof.2	chr1	173300303	173318418	+	NM_027893
uc007doh.2	chr1	173319090	173340370	+	NM_001005508
uc007dol.1	chr1	173341811	173348873	+	NM_009480
uc011wwd.1	chr1	173349163	173350483	+	NM_001164525
uc007doo.1	chr1	173367691	173394724	+	NM_172647
uc007dop.1	chr1	173433608	173434881	+	NM_019484
uc007doq.1	chr1	173448254	173465424	-	NM_010584
uc007dos.1	chr1	173489323	173515447	+	NM_018729
uc007dou.1	chr1	173518743	173537491	-	NM_008534
uc007dox.1	chr1	173562533	173583168	-	NM_144539
uc007doz.1	chr1	173612185	173635388	+	NM_007649
uc007dpc.1	chr1	173697262	173731315	+	NM_013730
uc007dpe.2	chr1	173769827	173820849	+	NM_013489
uc007dpg.1	chr1	173847667	173873999	+	NM_030710
uc007dpi.1	chr1	173934501	173958176	-	NM_033509
uc007dpj.2	chr1	173982422	173987727	-	NM_010916
uc007dpk.2	chr1	173996143	174012880	-	NM_021607
uc007dpn.2	chr1	174012659	174052463	+	NM_009938
uc007dpq.2	chr1	174056885	174066628	+	NM_023041
uc007dpu.2	chr1	174078145	174126524	+	NM_153555
uc007dpy.1	chr1	174126859	174136912	-	NM_011063
uc007dqa.2	chr1	174140024	174150026	-	NM_009813
uc011wwk.1	chr1	174153638	174188555	-	NM_013734
uc007dqc.1	chr1	174201839	174228195	-	NM_178405
uc007dqe.1	chr1	174242537	174249966	+	NM_080419
uc007dqg.1	chr1	174251163	174259394	-	NM_008429
uc007dqj.1	chr1	174271340	174304216	+	NM_001039484
uc007dqk.2	chr1	174306661	174314230	+	NM_026234
uc007dql.2	chr1	174405490	174408540	+	NM_029612
uc007dqn.2	chr1	174412343	174429008	+	NM_001145800
uc007dqp.1	chr1	174430376	174437506	+	NM_178598
uc007dqq.2	chr1	174451260	174476001	+	NM_027972
uc007dqs.2	chr1	174486068	174493848	+	NM_177723
uc007dqu.1	chr1	174511507	174520699	-	NM_029084
uc011wwo.1	chr1	174526770	174532682	-	NM_001164725
uc007dqw.1	chr1	174560899	174563105	-	NM_026725
uc011wwq.1	chr1	174628186	174630097	+	NM_007768
uc007dqy.2	chr1	174824091	174825185	-	NM_011318
uc007dqz.2	chr1	174886898	174887948	+	NM_008763
uc007dra.1	chr1	175060413	175061346	-	NM_146764
uc007drb.2	chr1	175113572	175114635	-	NM_146763
uc007drc.1	chr1	175133488	175134430	+	NM_001001809
uc007drd.2	chr1	175145737	175146771	+	NM_146881
uc007dre.2	chr1	175151401	175157360	-	NM_010184
uc007drf.2	chr1	175200277	175201268	+	NM_146651
uc007drg.1	chr1	175262016	175263634	-	NM_010045
uc007dri.1	chr1	175264384	175297826	-	NM_053199
uc011wws.1	chr1	175350734	175396167	+	NM_001013779
uc007dro.2	chr1	175451441	175466088	-	NM_001024721
uc011wwt.1	chr1	175522087	175529405	-	NM_001177350
uc007drr.2	chr1	175560989	175578059	+	NM_175026
uc007drt.1	chr1	175603810	175628523	+	NM_001162938
uc007drv.1	chr1	175677424	175697050	-	NM_008329
uc007drz.2	chr1	175787350	175810318	-	NM_001170853
uc007dsg.1	chr1	175850533	175872623	-	NM_008328
uc007dsk.2	chr1	175892699	175912975	-	NM_011940
uc007dsm.2	chr1	175942128	175961886	-	NM_172648
uc007dsn.2	chr1	175972063	175973067	+	NM_146717
uc007dso.1	chr1	175980505	175981444	+	NM_146716
uc007dsp.1	chr1	175999430	176000384	+	NM_146718
uc007dsq.2	chr1	176019168	176020111	+	NM_146722
uc007dsr.1	chr1	176029590	176030538	+	NM_207158
uc007dss.1	chr1	176047221	176048145	-	NM_001005520
uc007dst.1	chr1	176066876	176067824	+	NM_146721
uc011wwy.1	chr1	176081611	176082661	+	NM_146720
uc007dsv.2	chr1	176088852	176089898	+	NM_146305
uc007dsw.2	chr1	176102906	176178580	+	NM_011465
uc007dsx.2	chr1	176180019	176181107	-	NM_146715
uc007dsy.2	chr1	176260648	176263008	+	NM_025470
uc007dsz.1	chr1	176299049	176299979	+	NM_207137
uc007dta.2	chr1	176321176	176322186	+	NM_146714
uc007dtb.2	chr1	176360560	176361515	+	NM_146761
uc011wwz.1	chr1	176378755	176379733	+	NM_207694
uc007dtd.2	chr1	176431955	176752860	+	NM_019445
uc007dtf.1	chr1	176763915	176851950	-	NM_011825
uc007dtl.2	chr1	176989206	177422676	-	NM_001199003
uc007dtn.2	chr1	177531508	177555766	-	NM_010209
uc007dtp.1	chr1	177562323	177590984	+	NM_133809
uc007dtq.1	chr1	177592558	177622721	-	NM_010098
uc007dtr.2	chr1	177612368	177618484	-	NM_021350
uc011wxe.1	chr1	177628723	177745864	+	NM_029453
uc007dtu.2	chr1	177810908	177841527	+	NM_012012
uc007dtw.1	chr1	177892436	178205443	-	NM_176916
uc007dty.2	chr1	177907906	177909247	-	NM_001039518
uc007due.1	chr1	178663783	178737255	-	NM_001099637
uc011wxg.1	chr1	178702455	178702554	-	NR_029775
uc007duj.1	chr1	178744942	178950563	+	NM_029756
uc007duk.2	chr1	178952245	179178898	-	NM_011785
uc007dun.1	chr1	179374791	179380897	+	NM_001012330
uc007dur.1	chr1	179659944	179683436	+	NM_027077
uc007dut.1	chr1	179693308	179726640	-	NM_007422
uc007duv.2	chr1	179921565	179978422	+	NM_001034899
uc007dux.1	chr1	180117547	180182728	+	NM_024282
uc007duz.1	chr1	180249283	180252824	+	NM_025511
uc011wxl.1	chr1	180258430	180267915	-	NM_016805
uc007dve.1	chr1	180336011	180413380	+	NM_026626
uc007dvh.2	chr1	180459255	180862988	+	NM_001161665
uc007dvj.1	chr1	180885169	181448134	-	NM_027188
uc007dvl.1	chr1	181458186	181476398	-	NM_008249
uc007dvo.1	chr1	181476659	181557604	+	NM_146105
uc007dvp.1	chr1	181598361	181617315	+	NM_178653
uc011wxn.1	chr1	181675034	181734146	-	NM_026375
uc007dvw.2	chr1	181891219	182095733	+	NM_001033285
uc007dvy.2	chr1	182095368	182126151	-	NM_023341
uc007dwd.2	chr1	182157134	182186431	-	NM_001128605
uc007dwf.1	chr1	182257099	182260680	-	NR_003623
uc007dwg.1	chr1	182260606	182353790	+	NM_001081175
uc007dwh.1	chr1	182364365	182413635	-	NM_001081227
uc007dwi.1	chr1	182499105	182531385	+	NM_007415
uc007dwm.2	chr1	182571464	182620818	+	NM_001103182
uc007dwp.1	chr1	182623178	182627165	-	NM_013729
uc007dwq.2	chr1	182656173	182684335	+	NM_133225
uc007dwr.1	chr1	182732698	182743734	-	NM_008210
uc007dwt.1	chr1	182781281	182798245	+	NM_145943
uc007dwu.1	chr1	182823249	182829233	+	NM_177099
uc007dwv.2	chr1	182834404	182838219	+	NM_133705
uc007dww.1	chr1	182865169	182868532	+	NM_010094
uc007dwx.1	chr1	182872648	182905235	+	NM_144794
uc007dwz.1	chr1	182919686	182947626	-	NM_010145
uc007dxa.1	chr1	182981367	182990798	+	NM_001033819
uc007dxb.1	chr1	183023553	183074288	-	NM_026171
uc007dxe.2	chr1	183081061	183099125	+	NM_030131
uc007dxf.2	chr1	183103356	183142109	-	NM_145514
uc007dxh.2	chr1	183282758	183390772	+	NM_028408
uc011wxt.1	chr1	183439763	183441582	-	NM_207280
uc007dxo.2	chr1	183745445	183772532	-	NM_133815
uc007dxq.1	chr1	183834575	183950111	-	NM_010135
uc007dxu.2	chr1	184054867	184062546	+	NM_012058
uc011wxu.1	chr1	184087308	184088229	-	NM_001166728
uc007dxw.1	chr1	184205900	184212890	-	NM_007853
uc007dyb.1	chr1	184243232	184271737	-	NM_175127
uc007dyc.1	chr1	184339297	184392567	+	NM_173378
uc007dye.2	chr1	184397389	184447614	-	NM_009794
uc007dyi.2	chr1	184495137	184562483	+	NM_130890
uc007dyj.1	chr1	184677256	184679311	-	NM_001033547
uc007dyk.1	chr1	184695036	184825785	+	NM_144796
uc007dyl.1	chr1	184884918	184906175	+	NM_016928
uc011wxw.1	chr1	185856910	185857877	-	NM_028516
uc007dym.1	chr1	185858339	185899515	+	NM_022019
uc007dyn.2	chr1	186551023	186556372	-	NM_008250
uc007dyo.1	chr1	186610645	186635192	-	NM_001081361
uc007dyq.1	chr1	186636946	186669726	-	NM_133684
uc011wxx.1	chr1	186646285	186646367	-	NR_035502
uc007dys.1	chr1	186695804	186706915	-	NM_178692
uc007dyt.2	chr1	186720302	186823428	-	NM_145515
uc007dyu.2	chr1	187028046	187110625	+	NM_001163754
uc011wxz.1	chr1	187066804	187066922	+	NR_035529
uc007dyz.1	chr1	187110540	187153280	-	NM_198653
uc011wyb.1	chr1	187137197	187137264	+	NR_029580
uc007dzc.1	chr1	187156037	187181648	+	NM_011794
uc007dzg.1	chr1	187186973	187252234	+	NM_029735
uc007dzk.1	chr1	187278726	187292640	+	NM_001033286
uc011wyd.1	chr1	187321184	187321893	+	NR_033600
uc007dzm.2	chr1	187911610	187941189	-	NM_146106
uc007dzo.2	chr1	188447064	188529871	-	NM_009367
uc007dzq.1	chr1	188544964	188573237	-	NM_026041
uc007dzs.1	chr1	188791294	188794506	+	NM_033077
uc007dzt.2	chr1	188872285	189039325	-	NM_028848
uc007dzy.2	chr1	189039389	189175308	+	NM_026367
uc007eab.1	chr1	189821737	190038763	+	NM_011935
uc007eaf.1	chr1	190086716	190788918	+	NM_021408
uc007eai.1	chr1	190794976	190831719	-	NM_172650
uc011wyj.1	chr1	191031808	191167583	-	NM_010607
uc007eao.2	chr1	191464492	191511965	-	NM_001081363
uc007eau.1	chr1	191552146	191700572	+	NM_008976
uc007eax.1	chr1	191704370	191746167	-	NM_026796
uc007ebb.1	chr1	191945657	191994559	-	NM_008937
uc007ebi.2	chr1	192596757	192735649	-	NM_178775
uc007ebm.2	chr1	192752383	192770370	+	NM_021421
uc007ebr.2	chr1	192771524	192802877	-	NM_144879
uc007ebv.1	chr1	192829710	192850069	-	NM_001081259
uc011wyo.1	chr1	192849229	192853660	+	NR_027298
uc007ebw.2	chr1	192860700	192866820	+	NM_029336
uc007eby.2	chr1	192869708	192886811	-	NM_026895
uc011wyq.1	chr1	192886899	192908437	+	NM_198654
uc007ecd.1	chr1	192922292	192932822	+	NM_030060
uc011wyr.1	chr1	192986462	192988696	-	NM_001109759
uc007ece.1	chr1	192994175	193007212	-	NM_007498
uc007ecg.1	chr1	193130675	193141997	-	NM_025424
uc007ech.1	chr1	193149843	193176804	+	NM_025864
uc007eci.1	chr1	193175859	193220920	-	NM_144880
uc007eck.1	chr1	193361243	193399413	-	NM_029766
uc007ecp.1	chr1	193399612	193445570	+	NM_178632
uc007ecu.2	chr1	193542273	193608134	+	NM_001134829
uc007ecx.2	chr1	193645351	193656928	+	NM_010892
uc007edb.2	chr1	193717950	193731406	-	NR_030669
uc007edc.1	chr1	193730659	193737126	+	NM_009579
uc007edd.2	chr1	193801253	193812163	+	NM_023727
uc007edf.1	chr1	193821087	193916445	-	NM_011633
uc007edh.1	chr1	193924342	193961669	-	NM_144814
uc007edm.1	chr1	193960779	193974907	+	NR_033536
uc007edo.1	chr1	194014753	194334040	+	NM_010600
uc007edp.2	chr1	194336709	194597413	-	NM_144881
uc011wyx.1	chr1	194670681	194677941	-	NM_001177794
uc007edu.1	chr1	194723500	194861892	-	NM_181546
uc007edw.1	chr1	194930596	194956445	-	NM_145415
uc007edy.1	chr1	194979305	194998229	+	NM_016851
uc011wza.1	chr1	194999662	195004026	+	NM_001160360
uc007eec.2	chr1	195001697	195027740	-	NM_153137
uc007eeh.1	chr1	195047834	195090239	-	NM_008288
uc007eei.2	chr1	195098353	195099382	-	NM_008059
uc007eek.1	chr1	195128187	195170072	+	NM_008484
uc007eel.1	chr1	195172539	195196476	-	NM_144817
uc007een.1	chr1	196446022	196643062	+	NM_008882
uc007eeq.2	chr1	196765014	196787486	+	NM_133654
uc011wzd.1	chr1	196781952	196803153	-	NR_033564
uc007eer.2	chr1	196843592	196864102	+	NR_015566
uc007eet.1	chr1	196868093	196918442	-	NM_010778
uc007eew.1	chr1	196929981	196957764	-	NM_013499
uc007eez.1	chr1	196963004	197002909	-	NM_007758
